,dt,LeadR,MidR,LagR,Lead,Mid,Lag,LL,LLStrong,mktrf,smb,hml,ALeadR,AMidR,ALagR,ALead,AMid,ALag,ALL,ALLStrong,dtt,ex_LL,ex_LLStrong,rf,_merge,ex_Lead,ex_Mid,ex_Lag
33,19741031,0.16273300209509958,0.14912473349350347,0.2062350506180813,0.17063814043502049,0.15702987183342437,0.21414018895800221,-0.04350204852298173,-0.040735411374486025,16.1,-3.5,-9.72,195.2796025141194,178.94968019220406,247.48206074169755,204.7657685220245,188.43584620010913,256.96822674960265,-52.20245822757804,-48.88249364938319,197410,-52.20245822757804,-48.88249364938319,0.51,both,198.6457685220245,182.31584620010912,250.84822674960265
34,19741129,-0.050794064697525294,-0.05031677954741721,-0.049316119450504785,-0.04099014312889788,-0.04051285797878979,-0.03951219788187737,-0.0014779452470205096,-0.0019435266979285978,-4.51,-1.19,-0.08,-60.952877637030234,-60.38013545690064,-59.17934334060564,-49.18817175467736,-48.61542957454764,-47.41463745825276,-1.7735342964246,-2.3322320375142,197411,-1.7735342964246,-2.3322320375142,0.54,both,-55.66817175467736,-55.09542957454764,-53.89463745825276
35,19741231,-0.058759457075605724,-0.034579331316931236,-0.005592855024054962,-0.05099246678434368,-0.02681234102566919,0.0021741352672070818,-0.053166602051550764,-0.058327250567317176,-3.44,-4.84,0.06,-70.51134849072685,-41.495197580317445,-6.71142602886588,-61.190960141212315,-32.17480923080292,2.6089623206483994,-63.79992246186084,-69.99270068078052,197412,-63.79992246186084,-69.99270068078052,0.7,both,-69.59096014121232,-40.57480923080292,-5.791037679351599
36,19750131,0.18636334753321632,0.1378649693506539,0.05589714214178562,0.19407047662762872,0.1455720984450663,0.06360427123619802,0.1304662053914307,0.1552561559257275,13.66,11.02,8.21,223.63601703985955,165.43796322078467,67.07657057014272,232.88457195315445,174.68651813407956,76.32512548343759,156.55944646971682,186.307387110873,197501,156.55944646971682,186.307387110873,0.58,both,225.92457195315444,167.72651813407956,69.3651254834376
37,19750228,0.040457063740439635,0.0719007075051912,0.01723877623842412,0.04619320140774382,0.07763684517249539,0.022974913905728308,0.023218287502015513,0.019919783981856988,5.56,0.17,-4.53,48.54847648852752,86.28084900622945,20.686531486108922,55.43184168929256,93.16421420699437,27.569896686873964,27.861945002418597,23.903740778228283,197502,27.861945002418597,23.903740778228283,0.43,both,50.27184168929256,88.00421420699438,22.409896686873964
38,19750331,0.052428894157371175,0.02722194318128335,-0.0002600718293357864,0.05623117552619239,0.031024224550104566,0.003542209539485428,0.05268896598670696,0.07280107564491867,2.66,3.78,2.42,62.914672988845325,32.66633181753996,-0.31208619520284003,67.47741063143076,37.229069460125395,4.25065144738248,63.22675918404828,87.36129077390231,197503,63.22675918404828,87.36129077390231,0.41,both,62.557410631430756,32.30906946012539,-0.66934855261752
39,19750430,0.01298954948555998,0.04613522357680062,0.06627493474828679,0.016777428273438876,0.04992310236467951,0.07006281353616568,-0.0532853852627268,-0.045209889610800365,4.23,-0.5,-1.16,15.58745938267188,55.36226829216072,79.52992169794403,20.132913928126563,59.907722837615395,84.07537624339871,-63.94246231527217,-54.25186753296036,197504,-63.94246231527217,-54.25186753296036,0.44,both,14.852913928126561,54.627722837615394,78.7953762433987
40,19750530,0.06135299956186645,0.04583951736858387,0.08440345558280357,0.06323979201469675,0.04772630982141417,0.08629024803563387,-0.023050456020937124,-0.03320428400927565,5.19,3.83,-4.07,73.62359947423968,55.00742084230056,101.28414669936421,75.88775041763604,57.27157178569692,103.54829764276057,-27.66054722512452,-39.84514081113072,197505,-27.66054722512452,-39.84514081113072,0.44,both,70.60775041763604,51.99157178569692,98.26829764276057
41,19750630,0.0745195684132744,0.03371697333754767,0.053783118577922194,0.08205252509877353,0.041249930023046805,0.06131607526342133,0.0207364498353522,0.009712261018197887,4.82,0.77,1.29,89.42348209592927,40.46036800505712,64.53974229350652,98.46303011852821,49.499916027656155,73.57929031610556,24.883739802422642,11.65471322183736,197506,24.883739802422642,11.65471322183736,0.41,both,93.54303011852821,44.579916027656154,68.65929031610555
42,19750731,-0.061766157451074055,-0.07586211120529822,-0.071264328213382,-0.0524203630585508,-0.06651631681277496,-0.06191853382085873,0.009498170762307932,0.030958402325590634,-6.59,2.71,1.65,-74.1193889412888,-91.03453344635784,-85.5171938560584,-62.90443567026096,-79.81958017532988,-74.30224058503043,11.39780491476948,37.150082790708716,197507,11.39780491476948,37.150082790708716,0.48,both,-68.66443567026096,-85.57958017532988,-80.06224058503044
