,dt,const,LeadR,MidR,LagR,Lead,ex_Lead,Mid,ex_Mid,Lag,ex_Lag,LL,ex_LL,LLStrong,ex_LLStrong,mktrf,smb,hml,rf
38,19750331,1,0.052428894157371175,0.02722194318128335,-0.0002600718293357864,67.47741063143076,62.557410631430756,37.229069460125395,32.30906946012539,4.25065144738248,-0.66934855261752,63.22675918404828,63.22675918404828,87.36129077390231,87.36129077390231,2.66,3.78,2.42,0.41
39,19750430,1,0.01298954948555998,0.04613522357680062,0.06627493474828679,20.132913928126563,14.852913928126561,59.907722837615395,54.627722837615394,84.07537624339871,78.7953762433987,-63.94246231527217,-63.94246231527217,-54.25186753296036,-54.25186753296036,4.23,-0.5,-1.16,0.44
40,19750530,1,0.06135299956186645,0.04583951736858387,0.08440345558280357,75.88775041763604,70.60775041763604,57.27157178569692,51.99157178569692,103.54829764276057,98.26829764276057,-27.66054722512452,-27.66054722512452,-39.84514081113072,-39.84514081113072,5.19,3.83,-4.07,0.44
41,19750630,1,0.0745195684132744,0.03371697333754767,0.053783118577922194,98.46303011852821,93.54303011852821,49.499916027656155,44.579916027656154,73.57929031610556,68.65929031610555,24.883739802422642,24.883739802422642,11.65471322183736,11.65471322183736,4.82,0.77,1.29,0.41
42,19750731,1,-0.061766157451074055,-0.07586211120529822,-0.071264328213382,-62.90443567026096,-68.66443567026096,-79.81958017532988,-85.57958017532988,-74.30224058503043,-80.06224058503044,11.39780491476948,11.39780491476948,37.150082790708716,37.150082790708716,-6.59,2.71,1.65,0.48
43,19750829,1,-0.04563107706959655,-0.02348943924857544,-0.014426385526820233,-50.31284803907125,-56.072848039071246,-23.74288265384592,-29.502882653845923,-12.86721818773968,-18.62721818773968,-37.44562985133156,-37.44562985133156,-25.44060180414396,-25.44060180414396,-2.85,-3.2,-0.9,0.48
44,19750930,1,-0.05935152304293418,-0.04331934365079723,-0.03585606065951745,-62.36573909063543,-68.72573909063543,-43.127123820071155,-49.487123820071155,-34.1711842305354,-40.5311842305354,-28.19455486010004,-28.19455486010004,-0.91684972375344,-0.91684972375344,-4.26,-0.11,0.33,0.53
45,19751031,1,0.05780760549824582,0.0684390620048679,0.007691166420805655,75.96253319130145,69.24253319130145,88.72028099924796,82.00028099924796,15.82280629837332,9.10280629837332,60.139726892928124,60.139726892928124,93.39252938663604,93.39252938663604,5.31,-3.99,0.29,0.56
46,19751128,1,0.03659638610218856,0.030691080455845517,-0.00875110499464943,52.658832721533244,47.73883272153324,45.572465945921635,40.652465945921634,-1.75815659467224,-6.67815659467224,54.41698931620549,54.41698931620549,74.56694219245632,74.56694219245632,2.65,-1.2,1.99,0.41
47,19751231,1,-0.003927700472465002,-0.022386716867793078,0.0028102770449434343,1.7967051834941998,-3.9632948165058,-20.3541144908994,-26.114114490899397,9.882278204384281,4.122278204384282,-8.085573020890081,-8.085573020890081,-4.62392985331764,-4.62392985331764,-1.6,-0.77,1.78,0.48
48,19760130,1,0.12481839658845148,0.1355316620236465,0.0922553781151002,154.09862266873165,148.45862266873166,166.95454119096564,161.31454119096566,115.02300050071008,109.38300050071008,39.07562216802144,39.07562216802144,38.602149379159314,38.602149379159314,12.16,4.79,8.6,0.47
49,19760227,1,0.007966279860686085,0.01005374073706558,-0.020531185932286828,11.71007346723192,7.63007346723192,14.215026518887319,10.135026518887319,-22.48688548433544,-26.566885484335437,34.19695895156748,34.19695895156748,34.899007280013365,34.899007280013365,0.32,7.01,5.85,0.34
50,19760331,1,0.035427861192139844,0.019633719236801097,0.04227335697342841,44.66012394935148,39.860123949351475,25.70715360294492,20.90715360294492,52.874718886897675,48.07471888689767,-8.2145949375462,-8.2145949375462,-36.25524325888908,-36.25524325888908,2.33,-1.16,-0.02,0.4
51,19760430,1,-0.01602272514740595,-0.015545882746727229,0.001977586363150805,-17.084413034029918,-22.124413034029917,-16.51220215321548,-21.55220215321548,4.515960778638,-0.524039221362,-21.60037381266804,-21.60037381266804,-29.88536535555552,-29.88536535555552,-1.49,-0.07,-0.02,0.42
52,19760528,1,-0.03117810990786286,-0.013618923693419294,-0.010113550464548673,-30.99661958997012,-35.43661958997012,-9.925596132637798,-14.365596132637798,-5.71914825799308,-10.15914825799308,-25.27747133197692,-25.27747133197692,-34.6417510122864,-34.6417510122864,-1.35,-1.25,-1.31,0.37
53,19760630,1,0.04500930498735143,0.03989632409632677,0.03679735943952884,60.39414470822604,55.23414470822604,54.258567638996524,49.09856763899653,50.53981005083904,45.37981005083904,9.854334657386998,9.854334657386998,-0.31294577646996,-0.31294577646996,4.05,-1.38,0.73,0.43
54,19760730,1,-0.011144672890501639,-0.011913657507174378,-0.01136644025802714,-7.02440111939544,-12.664401119395439,-7.9471826594028006,-13.5871826594028,-7.29052196042604,-12.93052196042604,0.2661208410306,0.2661208410306,-14.240145980674681,-14.240145980674681,-1.07,0.3,1.73,0.47
55,19760831,1,-0.007239889459832522,-0.010297425209216275,0.0059306429484137745,-2.37207787811472,-7.4120778781147205,-6.041120777375281,-11.081120777375281,13.43256101178072,8.392561011780721,-15.80463888989544,-15.80463888989544,-1.5505498361287202,-1.5505498361287202,-0.56,-2,0.77,0.42
